"Postal District","Postal Sector (1st 2 digits of 6-digit postal codes)","General Location"
"01","01, 02, 03, 04, 05, 06","Raffles Place, Cecil, Marina, People's Park"
"02","07, 08","Anson, Tanjong Pagar"
"03","14, 15, 16","Queenstown, Tiong Bahru"
"04","09, 10","Telok Blangah, Harbourfront"
"05","11, 12, 13","Pasir Panjang, Hong Leong Garden, Clementi New Town"
"06","17","High Street, Beach Road (part)"
"07","18, 19","Middle Road, Golden Mile"
"08","20, 21","Little India"
"09","22, 23","Orchard, Cairnhill, River Valley"
"10","24, 25, 26, 27","Ardmore, Bukit Timah, Holland Road, Tanglin"
"11","28, 29, 30","Watten Estate, Novena, Thomson"
"12","31, 32, 33","Balestier, Toa Payoh, Serangoon"
"13","34, 35, 36, 37","Macpherson, Braddell"
"14","38, 39, 40, 41","Geylang, Eunos"
"15","42, 43, 44, 45","Katong, Joo Chiat, Amber Road"
"16","46, 47, 48","Bedok, Upper East Coast, Eastwood, Kew Drive"
"17","49, 50, 81","Loyang, Changi"
"18","51, 52","Tampines, Pasir Ris"
"19","53, 54, 55, 82","Serangoon Garden, Hougang, Ponggol"
"20","56, 57","Bishan, Ang Mo Kio"
"21","58, 59","Upper Bukit Timah, Clementi Park, Ulu Pandan"
"22","60, 61, 62, 63, 64","Jurong"
"23","65, 66, 67, 68","Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"24","69, 70, 71","Lim Chu Kang, Tengah"
"25","72, 73","Kranji, Woodgrove"
"26","77, 78","Upper Thomson, Springleaf"
"27","75, 76","Yishun, Sembawang"
"28","79, 80","Seletar"